2023-11-22 17:45:12,532 INFO c.e.d.Demo1Application [main] Starting Demo1Application using Java 17.0.7 with PID 19712 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
2023-11-22 17:45:12,550 INFO c.e.d.Demo1Application [main] No active profile set, falling back to 1 default profile: "default"
2023-11-22 17:45:14,594 INFO c.e.d.Demo1Application [main] Started Demo1Application in 2.615 seconds (process running for 5.447)
2023-11-22 17:45:14,594 INFO c.e.d.Demo1Application [main] ------------inf()-----------
20:09:30.092 [main] INFO  com.example.demo.Demo1Application - Starting Demo1Application using Java 17.0.7 with PID 11284 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
20:09:30.109 [main] INFO  com.example.demo.Demo1Application - No active profile set, falling back to 1 default profile: "default"
20:09:31.717 [main] INFO  com.example.demo.Demo1Application - Started Demo1Application in 2.019 seconds (process running for 4.368)
20:09:31.722 [main] INFO  com.example.demo.Demo1Application - ------------inf()-----------
20:10:10.113 [http-nio-8010-exec-1] INFO  com.example.demo.PersonController - Person List [Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}, Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='MNO PQR Street'}]
20:10:10.162 [http-nio-8010-exec-1] INFO  com.example.demo.PersonController - Person List - JSON output [{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"MNO PQR Street"}]
20:12:55.920 [main] INFO  com.example.demo.Demo1Application - Starting Demo1Application using Java 17.0.7 with PID 15108 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
20:12:55.933 [main] INFO  com.example.demo.Demo1Application - No active profile set, falling back to 1 default profile: "default"
20:12:57.445 [main] INFO  com.example.demo.Demo1Application - Started Demo1Application in 1.943 seconds (process running for 2.775)
20:12:57.447 [main] INFO  com.example.demo.Demo1Application - ------------inf()-----------
20:13:11.047 [http-nio-8010-exec-1] INFO  com.example.demo.PersonController - Person List [Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}, Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='MNO PQR Street'}]
20:13:11.103 [http-nio-8010-exec-1] INFO  com.example.demo.PersonController - Person List - JSON output [{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"MNO PQR Street"}]
20:13:43.402 [http-nio-8010-exec-2] INFO  com.example.demo.PersonController - Person List [Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}, Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='MNO PQR Street'}]
20:13:43.406 [http-nio-8010-exec-2] INFO  com.example.demo.PersonController - Person List - JSON output [{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"MNO PQR Street"}]
20:18:22.366 [main] INFO  com.example.demo.Demo1Application - Starting Demo1Application using Java 17.0.7 with PID 2680 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
20:18:22.386 [main] INFO  com.example.demo.Demo1Application - No active profile set, falling back to 1 default profile: "default"
20:18:25.647 [main] INFO  com.example.demo.Demo1Application - Started Demo1Application in 4.279 seconds (process running for 9.219)
20:18:25.654 [main] INFO  com.example.demo.Demo1Application - ------------inf()-----------
20:18:33.419 [http-nio-8010-exec-1] INFO  com.example.demo.PersonController - Person List [Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}, Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='MNO PQR Street'}]
20:18:33.581 [http-nio-8010-exec-1] INFO  com.example.demo.PersonController - Person List - JSON output [{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"MNO PQR Street"}]
20:20:27.465 [main] INFO  com.example.demo.Demo1Application - Starting Demo1Application using Java 17.0.7 with PID 15968 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
20:20:27.495 [main] INFO  com.example.demo.Demo1Application - No active profile set, falling back to 1 default profile: "default"
20:20:30.570 [main] INFO  com.example.demo.Demo1Application - Started Demo1Application in 4.185 seconds (process running for 6.544)
20:20:30.579 [main] INFO  com.example.demo.Demo1Application - ------------inf()-----------
20:20:37.229 [http-nio-8010-exec-1] INFO  com.example.demo.controller.PersonController - Person List [Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}, Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='MNO PQR Street'}]
20:20:37.362 [http-nio-8010-exec-1] INFO  com.example.demo.controller.PersonController - Person List - JSON output [{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"MNO PQR Street"}]
20:25:17.837 [main] INFO  com.example.demo.Demo1Application - Starting Demo1Application using Java 17.0.7 with PID 11516 (C:\Spring_worksplace\workspace1\Demo1\target\classes started by SadaqatKhan in C:\Spring_worksplace\workspace1\Demo1)
20:27:06.536 [main] INFO  com.example.demo.Demo1Application - No active profile set, falling back to 1 default profile: "default"
20:28:05.151 [http-nio-8010-exec-4] INFO  com.example.demo.controller.PersonController - Person List [Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='ABC XYZ Street'}, Person{firstName='****', lastName='****', age=****, creditCardNumber=****, address='MNO PQR Street'}]
20:28:05.161 [http-nio-8010-exec-4] INFO  com.example.demo.controller.PersonController - Person List - JSON output [{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"ABC XYZ Street"},{"firstName":"****","lastName":"****","age":****,"creditCardNumber":****,"address":"MNO PQR Street"}]
